# wavelength_um clean_reference_transit_depth
4.9655451775e+00 5.0168745220e-03
4.9735460281e+00 5.0137303770e-03
4.9815330505e+00 5.0171813928e-03
4.9895057678e+00 5.0225672312e-03
4.9974651337e+00 5.0177350640e-03
5.0054087639e+00 5.0134039484e-03
5.0133399963e+00 5.0154109485e-03
5.0212578773e+00 5.0178533420e-03
5.0291609764e+00 5.0211241469e-03
5.0370512009e+00 5.0225486048e-03
5.0449261665e+00 5.0231362693e-03
5.0527892113e+00 5.0246804021e-03
5.0606379509e+00 5.0269523636e-03
5.0684728622e+00 5.0297761336e-03
5.0762958527e+00 5.0322627649e-03
5.0841040611e+00 5.0342404284e-03
5.0918998718e+00 5.0377510488e-03
5.0996818542e+00 5.0409580581e-03
5.1074509621e+00 5.0384784117e-03
5.1152071953e+00 5.0359829329e-03
5.1229491234e+00 5.0353961997e-03
5.1306800842e+00 5.0330399536e-03
5.1383972168e+00 5.0274082460e-03
5.1461009979e+00 5.0307619385e-03
5.1537928581e+00 5.0395606086e-03
5.1614708900e+00 5.0598355010e-03
5.1691370010e+00 5.0775385462e-03
5.1767902374e+00 5.0624492578e-03
5.1844310760e+00 5.0488896668e-03
5.1920599937e+00 5.0511253066e-03
5.1996750832e+00 5.0570163876e-03
5.2072792053e+00 5.0664767623e-03
5.2148690224e+00 5.0677778199e-03
5.2224478722e+00 5.0602965057e-03
5.2300148010e+00 5.0587723963e-03
5.2375679016e+00 5.0608431920e-03
5.2451109886e+00 5.0597237423e-03
5.2526412010e+00 5.0582350232e-03
5.2601580620e+00 5.0600352697e-03
5.2676639557e+00 5.0605270080e-03
5.2751579285e+00 5.0522778183e-03
5.2826399803e+00 5.0426428206e-03
5.2901110649e+00 5.0415303558e-03
5.2975687981e+00 5.0409398973e-03
