# wavelength_um half_bin_width_um noisy_transit_depth sigma_inst
2.6803500652e+00 7.4652959593e-03 4.7052111477e-03 4.1507879359e-05
2.6952440739e+00 7.4285049923e-03 4.6680741943e-03 4.3305248255e-05
2.7100639343e+00 7.3918728158e-03 4.7124950215e-03 4.4523658289e-05
2.7248110771e+00 7.3562129401e-03 4.7050351277e-03 4.4583408453e-05
2.7394890785e+00 7.3208562098e-03 4.7176918015e-03 4.5185988711e-05
2.7540950775e+00 7.2854547761e-03 4.7241989523e-03 4.7395649744e-05
2.7686300278e+00 7.2509502061e-03 4.6696728095e-03 4.8343110393e-05
2.7830979824e+00 7.2166728787e-03 4.7740349546e-03 4.7150850151e-05
2.7974970341e+00 7.1825911291e-03 4.7228601761e-03 4.6844150347e-05
2.8118290901e+00 7.1493941359e-03 4.7103269026e-03 4.7713059757e-05
2.8260951042e+00 7.1160318330e-03 4.8196781427e-03 4.7609421017e-05
2.8402929306e+00 7.0833349600e-03 4.6957419254e-03 4.7197059757e-05
2.8544280529e+00 7.0510287769e-03 4.6653398313e-03 4.7110828746e-05
2.8684968948e+00 7.0188990794e-03 4.6088080853e-03 4.7236480896e-05
2.8825039864e+00 6.9873370230e-03 4.7099902295e-03 4.8527388572e-05
2.8964459896e+00 6.9559481926e-03 4.5885960571e-03 4.9737220252e-05
2.9103269577e+00 6.9250748493e-03 4.6241870150e-03 4.9834940000e-05
2.9241468906e+00 6.8944701925e-03 4.4704321772e-03 4.9327380111e-05
2.9379050732e+00 6.8642040715e-03 4.6328362077e-03 4.9075588322e-05
2.9516038895e+00 6.8343100138e-03 4.6567190439e-03 4.9533289712e-05
2.9652419090e+00 6.8047000095e-03 4.5989737846e-03 5.0829181419e-05
2.9788219929e+00 6.7754629999e-03 4.6469541267e-03 5.2197730838e-05
2.9923439026e+00 6.7463722080e-03 4.5716129243e-03 5.2578230680e-05
3.0058081150e+00 6.7179352045e-03 4.6550510451e-03 5.2122071793e-05
3.0192160606e+00 6.6895098425e-03 4.6296450309e-03 5.1720078773e-05
3.0325660706e+00 6.6613471135e-03 4.6807061881e-03 5.1712780987e-05
3.0458610058e+00 6.6337101161e-03 4.7098570503e-03 5.0721890148e-05
3.0591011047e+00 6.6061117686e-03 4.5604212210e-03 4.9780701374e-05
3.0722858906e+00 6.5792938694e-03 4.6971458942e-03 4.9522161135e-05
3.0854179859e+00 6.5522012301e-03 4.6839858405e-03 5.0418420869e-05
3.0984950066e+00 6.5255891532e-03 4.7419629991e-03 5.1796541811e-05
3.1115200520e+00 6.4995312132e-03 4.8134247772e-03 5.1901050028e-05
3.1244928837e+00 6.4732218161e-03 4.7580162063e-03 5.1906539738e-05
3.1374130249e+00 6.4476039261e-03 4.8756250180e-03 5.2724109992e-05
3.1502830982e+00 6.4222230576e-03 4.7794659622e-03 5.2908038924e-05
3.1631019115e+00 6.3968100585e-03 4.7401590273e-03 5.1464769058e-05
3.1758699417e+00 6.3720368780e-03 4.7282199375e-03 5.0136430218e-05
3.1885900497e+00 6.3473810442e-03 4.8608910292e-03 5.0078968343e-05
3.2012600899e+00 6.3226330094e-03 4.7825179063e-03 5.0528320571e-05
3.2138810158e+00 6.2985238619e-03 4.7340318561e-03 5.0492140872e-05
3.2264540195e+00 6.2749381177e-03 4.7886851244e-03 5.0785820349e-05
3.2389800549e+00 6.2508890405e-03 4.7095878981e-03 5.1732309657e-05
3.2514579296e+00 6.2270821072e-03 4.7806631774e-03 5.1874099881e-05
3.2638890743e+00 6.2041417696e-03 4.7619971447e-03 5.2530558605e-05
