# wavelength_um half_bin_width_um noisy_transit_depth sigma_inst
4.6502981186e+00 4.3013291433e-03 4.8520560376e-03 9.6411458799e-05
4.6588931084e+00 4.2928247713e-03 4.8074130900e-03 9.4344730314e-05
4.6674690247e+00 4.2841429822e-03 4.9534598365e-03 9.4693161373e-05
4.6760292053e+00 4.2758272029e-03 4.8688398674e-03 9.6978299553e-05
4.6845731735e+00 4.2673209682e-03 4.6827332117e-03 9.8729513411e-05
4.6930990219e+00 4.2589870282e-03 4.7814399004e-03 9.8771706689e-05
4.7016091347e+00 4.2505068704e-03 4.6500540338e-03 9.8443822935e-05
4.7101011276e+00 4.2422311381e-03 4.6885111369e-03 1.0263839795e-04
4.7185778618e+00 4.2338850908e-03 4.8004728742e-03 1.0605040006e-04
4.7270359993e+00 4.2255860753e-03 4.7411029227e-03 1.0681350250e-04
4.7354798317e+00 4.2174519040e-03 4.8640258610e-03 1.0200669931e-04
4.7439060211e+00 4.2092557997e-03 4.7868029214e-03 9.8996351880e-05
4.7523169518e+00 4.2012049817e-03 4.6920292079e-03 9.8266420537e-05
4.7607111931e+00 4.1931099258e-03 4.7932858579e-03 1.0019980255e-04
4.7690892220e+00 4.1851401329e-03 4.8347110860e-03 1.0368670337e-04
4.7774510384e+00 4.1771461256e-03 4.8937029205e-03 1.0859000031e-04
4.7857980728e+00 4.1692559607e-03 4.6559399925e-03 1.1231090321e-04
4.7941279411e+00 4.1613429785e-03 5.0216629170e-03 1.1318550241e-04
4.8024430275e+00 4.1534379125e-03 4.7317310236e-03 1.0969120194e-04
4.8107419014e+00 4.1455598548e-03 5.0003668293e-03 1.0461839702e-04
4.8190259933e+00 4.1378289461e-03 4.7483658418e-03 1.0078999912e-04
4.8272929192e+00 4.1301092133e-03 5.0869709812e-03 1.0026060045e-04
4.8355460167e+00 4.1223601438e-03 4.8838648945e-03 1.0462269711e-04
4.8437829018e+00 4.1146758012e-03 4.8141591251e-03 1.1186420306e-04
4.8520050049e+00 4.1070990264e-03 4.8375600018e-03 1.1374390306e-04
4.8602108955e+00 4.0995050222e-03 4.7421380877e-03 1.1121210264e-04
4.8684029579e+00 4.0919100866e-03 4.9347681925e-03 1.0552540334e-04
4.8765788078e+00 4.0844581090e-03 4.8104007728e-03 1.0358419968e-04
4.8847408295e+00 4.0769381449e-03 4.8222518526e-03 1.0393199773e-04
4.8928871155e+00 4.0695159696e-03 4.7289310023e-03 1.0791519890e-04
4.9010190964e+00 4.0620709769e-03 4.7024800442e-03 1.1195780098e-04
4.9091348648e+00 4.0547400713e-03 4.7034788877e-03 1.1562780128e-04
4.9172382355e+00 4.0473667905e-03 4.7883400694e-03 1.1735699809e-04
4.9253239632e+00 4.0401248261e-03 4.7105289996e-03 1.1880540114e-04
4.9333977699e+00 4.0328251198e-03 4.7190571204e-03 1.2043939932e-04
4.9414558411e+00 4.0256101638e-03 4.8636440188e-03 1.1890070164e-04
4.9495010376e+00 4.0183807723e-03 4.8264907673e-03 1.1600220023e-04
4.9575290680e+00 4.0111728013e-03 4.9117677845e-03 1.1452729814e-04
4.9655451775e+00 4.0041161701e-03 4.7826860100e-03 1.1323420040e-04
4.9735460281e+00 3.9969650097e-03 4.7273179516e-03 1.1190839723e-04
4.9815330505e+00 3.9899582043e-03 4.7709778883e-03 1.1484220158e-04
